date,homeTeam,awayTeam,homeScore,awayScore,matchResult
11/03/2023,Real Madrid,Espanol,3,1,H
11/03/2023,Elche,Valladolid,1,1,D
11/03/2023,Celta,Vallecano,3,0,H
11/03/2023,Valencia,Osasuna,1,0,H
12/03/2023,Mallorca,Sociedad,1,1,D
12/03/2023,Sevilla,Almeria,2,1,H
12/03/2023,Villarreal,Betis,1,1,D
12/03/2023,Ath Bilbao,Barcelona,0,1,A
13/03/2023,Girona,Ath Madrid,0,1,A
17/03/2023,Valladolid,Ath Bilbao,1,3,A
18/03/2023,Almeria,Cadiz,1,1,D
18/03/2023,Vallecano,Girona,2,2,D
18/03/2023,Espanol,Celta,1,3,A
18/03/2023,Ath Madrid,Valencia,3,0,H
19/03/2023,Betis,Mallorca,1,0,H
19/03/2023,Osasuna,Villarreal,0,3,A
19/03/2023,Sociedad,Elche,2,0,H
19/03/2023,Getafe,Sevilla,2,0,H
19/03/2023,Barcelona,Real Madrid,2,1,H
31/03/2023,Mallorca,Osasuna,0,0,D
01/04/2023,Girona,Espanol,2,1,H
01/04/2023,Ath Bilbao,Getafe,0,0,D
01/04/2023,Cadiz,Sevilla,0,2,A
01/04/2023,Elche,Barcelona,0,4,A
02/04/2023,Celta,Almeria,2,2,D
02/04/2023,Real Madrid,Valladolid,6,0,H
02/04/2023,Villarreal,Sociedad,2,0,H
02/04/2023,Ath Madrid,Betis,1,0,H
03/04/2023,Valencia,Vallecano,1,1,D
07/04/2023,Sevilla,Celta,2,2,D
08/04/2023,Osasuna,Elche,2,1,H
08/04/2023,Espanol,Ath Bilbao,1,2,A
08/04/2023,Sociedad,Getafe,2,0,H
08/04/2023,Real Madrid,Villarreal,2,3,A
09/04/2023,Valladolid,Mallorca,3,3,D
09/04/2023,Betis,Cadiz,0,2,A
09/04/2023,Almeria,Valencia,2,1,H
09/04/2023,Vallecano,Ath Madrid,1,2,A
10/04/2023,Barcelona,Girona,0,0,D
14/04/2023,Vallecano,Osasuna,2,1,H
15/04/2023,Villarreal,Valladolid,1,2,A
15/04/2023,Ath Bilbao,Sociedad,2,0,H
15/04/2023,Betis,Espanol,3,1,H
15/04/2023,Cadiz,Real Madrid,0,2,A
16/04/2023,Girona,Elche,2,0,H
16/04/2023,Getafe,Barcelona,0,0,D
16/04/2023,Ath Madrid,Almeria,2,1,H
16/04/2023,Valencia,Sevilla,0,2,A
17/04/2023,Celta,Mallorca,0,1,A
21/04/2023,Espanol,Cadiz,0,0,D
22/04/2023,Osasuna,Betis,3,2,H
22/04/2023,Almeria,Ath Bilbao,1,2,A
22/04/2023,Sociedad,Vallecano,2,1,H
22/04/2023,Valladolid,Girona,1,0,H
22/04/2023,Real Madrid,Celta,2,0,H
23/04/2023,Elche,Valencia,0,2,A
23/04/2023,Barcelona,Ath Madrid,1,0,H
23/04/2023,Mallorca,Getafe,3,1,H
23/04/2023,Sevilla,Villarreal,2,1,H
25/04/2023,Cadiz,Osasuna,0,1,A
25/04/2023,Girona,Real Madrid,4,2,H
25/04/2023,Betis,Sociedad,0,0,D
26/04/2023,Ath Madrid,Mallorca,3,1,H
26/04/2023,Getafe,Almeria,1,2,A
26/04/2023,Celta,Elche,1,0,H
26/04/2023,Vallecano,Barcelona,2,1,H
27/04/2023,Valencia,Valladolid,2,1,H
27/04/2023,Villarreal,Espanol,4,2,H
27/04/2023,Ath Bilbao,Sevilla,0,1,A
28/04/2023,Osasuna,Sociedad,0,2,A
29/04/2023,Elche,Vallecano,4,0,H
29/04/2023,Real Madrid,Almeria,4,2,H
29/04/2023,Barcelona,Betis,4,0,H
30/04/2023,Cadiz,Valencia,2,1,H
30/04/2023,Villarreal,Celta,3,1,H
30/04/2023,Espanol,Getafe,1,0,H
30/04/2023,Valladolid,Ath Madrid,2,5,A
01/05/2023,Mallorca,Ath Bilbao,1,1,D
01/05/2023,Sevilla,Girona,0,2,A
02/05/2023,Almeria,Elche,2,1,H
02/05/2023,Barcelona,Osasuna,1,0,H
02/05/2023,Sociedad,Real Madrid,2,0,H
03/05/2023,Valencia,Villarreal,1,1,D
03/05/2023,Ath Madrid,Cadiz,5,1,H
03/05/2023,Getafe,Celta,1,0,H
04/05/2023,Girona,Mallorca,2,1,H
04/05/2023,Sevilla,Espanol,3,2,H
04/05/2023,Ath Bilbao,Betis,0,1,A
04/05/2023,Vallecano,Valladolid,2,1,H
12/05/2023,Mallorca,Cadiz,1,0,H
13/05/2023,Sociedad,Girona,2,2,D
13/05/2023,Osasuna,Almeria,3,1,H
13/05/2023,Villarreal,Ath Bilbao,5,1,H
13/05/2023,Real Madrid,Getafe,1,0,H
14/05/2023,Celta,Valencia,1,2,A
14/05/2023,Elche,Ath Madrid,1,0,H
14/05/2023,Valladolid,Sevilla,0,3,A
14/05/2023,Espanol,Barcelona,2,4,A
15/05/2023,Betis,Vallecano,3,1,H
19/05/2023,Cadiz,Valladolid,2,0,H
20/05/2023,Girona,Villarreal,1,2,A
