date,homeTeam,awayTeam,homeScore,awayScore,matchResult
2026-04-19,Valencia,Girona,,,
2026-04-22,Ath Bilbao,Osasuna,,,
2026-04-22,FC Barcelona,Celta,,,
2026-04-22,Levante,Sevilla,,,
2026-04-22,Mallorca,Valencia,,,
2026-04-22,Real Oviedo,Villarreal,,,
2026-04-22,Real Madrid,Alaves,,,
2026-04-22,Elche,Ath Madrid,,,
2026-04-22,Girona,Real Betis,,,
2026-04-22,Rayo Vallecano,Espanyol,,,
2026-04-22,Real Sociedad,Getafe,,,
2026-05-03,Alaves,Ath Bilbao,,,
2026-05-03,Real Betis,Real Oviedo,,,
2026-05-03,Celta,Elche,,,
2026-05-03,Espanyol,Real Madrid,,,
2026-05-03,Getafe,Rayo Vallecano,,,
2026-05-03,Girona,Mallorca,,,
2026-05-03,Valencia,Ath Madrid,,,
2026-05-03,Osasuna,FC Barcelona,,,
2026-05-03,Villarreal,Levante,,,
2026-05-03,Sevilla,Real Sociedad,,,
2026-05-10,Ath Bilbao,Valencia,,,
2026-05-10,Ath Madrid,Celta,,,
2026-05-10,FC Barcelona,Real Madrid,,,
2026-05-10,Levante,Osasuna,,,
2026-05-10,Mallorca,Villarreal,,,
2026-05-10,Elche,Alaves,,,
2026-05-10,Real Sociedad,Real Betis,,,
2026-05-10,Sevilla,Espanyol,,,
2026-05-10,Real Oviedo,Getafe,,,
2026-05-10,Rayo Vallecano,Girona,,,
2026-05-13,Alaves,FC Barcelona,,,
2026-05-13,Real Betis,Elche,,,
2026-05-13,Celta,Levante,,,
2026-05-13,Getafe,Mallorca,,,
2026-05-13,Girona,Real Sociedad,,,
2026-05-13,Espanyol,Ath Bilbao,,,
2026-05-13,Osasuna,Ath Madrid,,,
2026-05-13,Valencia,Rayo Vallecano,,,
2026-05-13,Villarreal,Sevilla,,,
2026-05-13,Real Madrid,Real Oviedo,,,
2026-05-17,Ath Bilbao,Celta,,,
2026-05-17,Ath Madrid,Girona,,,
2026-05-17,FC Barcelona,Real Betis,,,
2026-05-17,Elche,Getafe,,,
2026-05-17,Levante,Mallorca,,,
2026-05-17,Rayo Vallecano,Villarreal,,,
2026-05-17,Real Sociedad,Valencia,,,
2026-05-17,Real Oviedo,Alaves,,,
2026-05-17,Osasuna,Espanyol,,,
2026-05-17,Sevilla,Real Madrid,,,
2026-05-24,Alaves,Rayo Vallecano,,,
2026-05-24,Real Betis,Levante,,,
2026-05-24,Celta,Sevilla,,,
2026-05-24,Espanyol,Real Sociedad,,,
2026-05-24,Getafe,Osasuna,,,
2026-05-24,Mallorca,Real Oviedo,,,
2026-05-24,Real Madrid,Ath Bilbao,,,
2026-05-24,Villarreal,Ath Madrid,,,
2026-05-24,Valencia,FC Barcelona,,,
2026-05-24,Girona,Elche,,,
