date,homeTeam,awayTeam,homeScore,awayScore,matchResult,homeCode,awayCode,dayCode,target,season,homeGoalsForSum,homeGoalsAgainstSum,awayGoalsForSum,awayGoalsAgainstSum,homeWinRateRolling3,awayWinRateRolling3,homeWinRateRolling5,awayWinRateRolling5,homeWinRateRolling10,awayWinRateRolling10,homeWinRateExpanding,awayWinRateExpanding,homePoints,awayPoints,homeTotalPoints,awayTotalPoints,homeAvgGoalsFor,homeAvgGoalsAgainst,awayAvgGoalsFor,awayAvgGoalsAgainst,homeTotalWins,homeTotalLosses,homeTotalDraws,awayTotalWins,awayTotalLosses,awayTotalDraws
2022-09-03,Real Sociedad,Ath Madrid,1.0,1.0,D,14,13,5,0,2022,1.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,6,6,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2,1,0,2,1,0
2022-09-03,Sevilla,FC Barcelona,0.0,3.0,A,11,3,5,2,2022,1.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,3,1,7,1.0,1.6666666666666667,2.6666666666666665,0.3333333333333333,0,2,1,2,0,1
2022-09-04,Osasuna,Rayo Vallecano,2.0,1.0,H,0,17,6,1,2022,4.0,1.0,2.0,0.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,3,0,6,4,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,0,1,1,1
2022-09-04,Ath Bilbao,Espanyol,0.0,1.0,A,7,10,6,2,2022,1.0,0.0,2.0,2.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,3,7,1,1.6666666666666667,0.0,1.0,2.3333333333333335,2,0,1,0,2,1
2022-09-04,Villarreal,Elche,4.0,0.0,H,19,15,6,1,2022,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,1,1.6666666666666667,0.0,0.3333333333333333,1.6666666666666667,2,0,1,0,2,1
2022-09-04,Valencia,Getafe,5.0,1.0,H,5,8,6,1,2022,1.0,1.0,1.0,3.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,3,0,3,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,1,2,0,0,2,1
2022-09-05,Valladolid,Almeria,1.0,0.0,H,2,6,0,1,2022,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,4,0.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,0,2,1,1,1,1
2022-09-09,Girona,Valladolid,2.0,1.0,H,16,2,4,1,2022,3.0,2.0,1.0,5.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,3,0,4,4,1.0,1.0,0.5,2.0,1,2,1,1,2,1
2022-09-10,Rayo Vallecano,Valencia,2.0,1.0,H,17,5,5,1,2022,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,6,0.75,1.0,1.5,0.75,1,2,1,2,2,0
2022-09-10,Espanyol,Sevilla,2.0,3.0,A,10,11,5,2,2022,1.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,4,1,1.0,1.75,0.75,2.0,1,2,1,0,3,1
2022-09-10,Cadiz,FC Barcelona,0.0,4.0,A,4,3,5,2,2022,0.0,5.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,3,0,10,0.0,2.5,2.75,0.25,0,4,0,3,0,1
2022-09-10,Ath Madrid,Celta,4.0,1.0,H,13,1,5,1,2022,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3,0,7,7,1.25,0.75,1.75,1.5,2,1,1,2,1,1
2022-09-11,Real Madrid,Mallorca,4.0,1.0,H,18,12,6,1,2022,2.0,1.0,2.0,0.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,3,0,12,5,2.75,1.0,1.0,0.75,4,0,0,1,1,2
2022-09-11,Elche,Ath Bilbao,1.0,4.0,A,15,7,6,2,2022,1.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,3,1,7,0.25,2.25,1.25,0.25,0,3,1,2,1,1
2022-09-11,Getafe,Real Sociedad,2.0,1.0,H,8,14,6,1,2022,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3,0,1,7,0.5,2.75,1.0,1.25,0,3,1,2,1,1
2022-09-11,Real Betis,Villarreal,1.0,0.0,H,9,19,6,1,2022,4.0,0.0,5.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,3,0,9,10,1.75,0.75,2.25,0.0,3,1,0,3,0,1
2022-09-12,Almeria,Osasuna,0.0,1.0,A,6,0,0,2,2022,3.0,3.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,3,4,9,1.0,1.25,1.5,0.75,1,2,1,3,1,0
2022-09-16,Valladolid,Cadiz,0.0,1.0,A,2,4,4,2,2022,1.0,3.0,0.0,5.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,3,4,0,0.6,2.0,0.0,2.8,1,3,1,0,5,0
2022-09-17,Mallorca,Almeria,1.0,0.0,H,12,6,5,1,2022,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,5,4,1.0,1.4,0.8,1.2,1,2,2,1,3,1
2022-09-17,FC Barcelona,Elche,3.0,0.0,H,3,15,5,1,2022,4.0,0.0,0.0,7.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,3,0,13,1,3.0,0.2,0.4,2.6,4,0,1,0,4,1
2022-09-17,Valencia,Celta,3.0,0.0,H,5,1,5,1,2022,6.0,2.0,2.0,4.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,3,0,6,7,1.4,1.0,1.6,2.0,2,3,0,2,2,1
2022-09-17,Ath Bilbao,Rayo Vallecano,3.0,2.0,H,7,17,5,1,2022,1.0,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,10,7,1.8,0.4,1.0,1.0,3,1,1,2,2,1
2022-09-18,Osasuna,Getafe,0.0,2.0,A,0,8,6,2,2022,6.0,2.0,2.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,3,12,4,1.4,0.6,0.8,2.4,4,1,0,1,3,1
2022-09-18,Villarreal,Sevilla,1.0,1.0,D,19,11,6,0,2022,4.0,0.0,5.0,6.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1,1,10,4,1.8,0.2,1.2,2.0,3,1,1,1,3,1
2022-09-18,Real Betis,Girona,2.0,1.0,H,9,16,6,1,2022,5.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0,12,7,1.6,0.6,1.2,1.0,4,1,0,2,2,1
2022-09-18,Real Sociedad,Espanyol,2.0,1.0,H,14,10,6,1,2022,2.0,5.0,3.0,2.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,3,0,7,4,1.0,1.4,1.2,2.0,2,2,1,1,3,1
2022-09-18,Ath Madrid,Real Madrid,1.0,2.0,A,13,18,6,2,2022,4.0,3.0,9.0,3.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0,3,10,15,1.8,0.8,3.0,1.0,3,1,1,5,0,0
2022-09-30,Ath Bilbao,Almeria,4.0,0.0,H,7,6,4,1,2022,4.0,3.0,1.0,3.0,0.6666666666666666,0.0,0.5,0.0,0.5,0.0,0.5,0.0,3,0,13,4,2.0,0.6666666666666666,0.6666666666666666,1.1666666666666667,4,1,1,1,4,1
2022-10-01,Cadiz,Villarreal,0.0,0.0,D,4,19,5,0,2022,0.0,9.0,5.0,1.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.5,1,1,3,11,0.16666666666666666,2.3333333333333335,1.6666666666666667,0.3333333333333333,1,5,0,3,1,2
2022-10-01,Getafe,Valladolid,2.0,3.0,A,8,2,5,2,2022,2.0,4.0,2.0,7.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,3,7,4,1.0,2.0,0.5,1.8333333333333333,2,3,1,1,4,1
2022-10-01,Sevilla,Ath Madrid,0.0,2.0,A,11,13,5,2,2022,1.0,4.0,5.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0,3,5,10,1.1666666666666667,1.8333333333333333,1.6666666666666667,1.0,1,3,2,3,2,1
2022-10-01,Mallorca,FC Barcelona,0.0,1.0,A,12,3,5,2,2022,3.0,3.0,11.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0,3,8,16,1.0,1.1666666666666667,3.0,0.16666666666666666,2,2,2,5,0,1
2022-10-02,Espanyol,Valencia,2.0,2.0,D,10,5,6,0,2022,3.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,9,1.1666666666666667,2.0,1.6666666666666667,0.8333333333333334,1,4,1,3,3,0
2022-10-02,Celta,Real Betis,1.0,0.0,H,1,9,6,1,2022,6.0,6.0,3.0,3.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,3,0,7,15,1.3333333333333333,2.1666666666666665,1.6666666666666667,0.6666666666666666,2,3,1,5,1,0
2022-10-02,Girona,Real Sociedad,3.0,5.0,A,16,14,6,2,2022,5.0,3.0,3.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,3,7,10,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.3333333333333333,2,3,1,3,2,1
2022-10-02,Real Madrid,Osasuna,1.0,1.0,D,18,0,6,0,2022,6.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1,1,18,12,2.8333333333333335,1.0,1.1666666666666667,0.8333333333333334,6,0,0,4,2,0
2022-10-03,Rayo Vallecano,Elche,2.0,1.0,H,17,15,0,1,2022,2.0,3.0,0.0,10.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,3,0,7,1,1.1666666666666667,1.3333333333333333,0.3333333333333333,2.6666666666666665,2,3,1,0,5,1
2022-10-07,Osasuna,Valencia,1.0,2.0,A,0,5,4,2,2022,6.0,4.0,3.0,5.0,0.6666666666666666,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0,3,13,10,1.1428571428571428,0.8571428571428571,1.7142857142857142,1.0,4,2,1,3,3,1
2022-10-08,Almeria,Rayo Vallecano,3.0,1.0,H,6,17,5,1,2022,3.0,4.0,5.0,5.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25,3,0,4,10,0.5714285714285714,1.5714285714285714,1.2857142857142858,1.2857142857142858,1,5,1,3,3,1
2022-10-08,Ath Madrid,Girona,2.0,1.0,H,13,16,5,1,2022,5.0,5.0,2.0,4.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,3,0,13,7,1.7142857142857142,0.8571428571428571,1.4285714285714286,1.7142857142857142,4,2,1,2,4,1
2022-10-08,Sevilla,Ath Bilbao,1.0,1.0,D,11,7,5,0,2022,1.0,6.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,5,16,1.0,1.8571428571428572,2.2857142857142856,0.5714285714285714,1,4,2,5,1,1
2022-10-08,Getafe,Real Madrid,0.0,1.0,A,8,18,5,2,2022,4.0,7.0,11.0,4.0,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0,3,7,19,1.1428571428571428,2.142857142857143,2.5714285714285716,1.0,2,4,1,6,0,1
2022-10-09,Valladolid,Real Betis,0.0,0.0,D,2,9,6,0,2022,1.0,4.0,3.0,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,7,15,0.8571428571428571,1.8571428571428572,1.4285714285714286,0.7142857142857143,2,4,1,5,2,0
